Arm,Reward,Regret,Algorithm
3,5.426443110861991,0,Epsilon-Greedy
3,5.386299424686449,0,Epsilon-Greedy
3,4.0157068091423165,0,Epsilon-Greedy
3,4.415598845592285,0,Epsilon-Greedy
3,3.5977099305924876,0,Epsilon-Greedy
3,6.626757257328137,0,Epsilon-Greedy
3,3.8210716412567076,0,Epsilon-Greedy
3,3.9417367956904132,0,Epsilon-Greedy
3,4.848067680043251,0,Epsilon-Greedy
3,3.5072322513668865,0,Epsilon-Greedy
3,2.840442525566761,0,Epsilon-Greedy
3,1.717576361694225,0,Epsilon-Greedy
3,3.86512121991704,0,Epsilon-Greedy
3,2.5173947689256444,0,Epsilon-Greedy
3,3.3383650951639483,0,Epsilon-Greedy
3,3.708480976369428,0,Epsilon-Greedy
3,3.400557002461415,0,Epsilon-Greedy
3,2.297437195073548,0,Epsilon-Greedy
3,3.3329833294446165,0,Epsilon-Greedy
3,4.007202530501447,0,Epsilon-Greedy
3,5.135851981864591,0,Epsilon-Greedy
3,4.805106025330964,0,Epsilon-Greedy
3,3.048700038652628,0,Epsilon-Greedy
3,4.026603640664271,0,Epsilon-Greedy
3,4.1262781863723985,0,Epsilon-Greedy
3,4.0350553794022375,0,Epsilon-Greedy
3,3.5208082598785304,0,Epsilon-Greedy
3,6.305699342730033,0,Epsilon-Greedy
3,4.138686543072595,0,Epsilon-Greedy
3,5.439370870454781,0,Epsilon-Greedy
3,3.699857894748422,0,Epsilon-Greedy
3,4.177801717072389,0,Epsilon-Greedy
3,3.4604090104420706,0,Epsilon-Greedy
3,2.9452109018609134,0,Epsilon-Greedy
3,2.7630961874330957,0,Epsilon-Greedy
3,6.068995818991215,0,Epsilon-Greedy
3,3.4924939669483175,0,Epsilon-Greedy
3,2.8715159554117946,0,Epsilon-Greedy
3,2.079923179510697,0,Epsilon-Greedy
3,2.4445409972318926,0,Epsilon-Greedy
3,4.258129512717276,0,Epsilon-Greedy
3,4.3588159662826635,0,Epsilon-Greedy
3,4.830770805063006,0,Epsilon-Greedy
3,3.2896940402750032,0,Epsilon-Greedy
3,3.7272422170335227,0,Epsilon-Greedy
3,4.295956781353192,0,Epsilon-Greedy
3,3.2976967433991216,0,Epsilon-Greedy
3,4.303792506657527,0,Epsilon-Greedy
3,3.026880303237827,0,Epsilon-Greedy
3,4.974222937386873,0,Epsilon-Greedy
3,3.9910445915886914,0,Epsilon-Greedy
3,5.650819636354421,0,Epsilon-Greedy
3,4.520398720379298,0,Epsilon-Greedy
3,4.2939051284575935,0,Epsilon-Greedy
3,3.034333247319376,0,Epsilon-Greedy
3,4.313699954434465,0,Epsilon-Greedy
3,4.251172402202459,0,Epsilon-Greedy
3,4.859463596938466,0,Epsilon-Greedy
3,4.656552464609721,0,Epsilon-Greedy
3,3.8205167020961848,0,Epsilon-Greedy
3,3.686394012475219,0,Epsilon-Greedy
3,4.563998910302808,0,Epsilon-Greedy
3,4.751768246860192,0,Epsilon-Greedy
3,3.2630113484709713,0,Epsilon-Greedy
3,3.363489742310924,0,Epsilon-Greedy
3,4.539131359646947,0,Epsilon-Greedy
3,4.878966279860358,0,Epsilon-Greedy
3,3.789308073432501,0,Epsilon-Greedy
3,4.068889821147553,0,Epsilon-Greedy
3,5.370139758940531,0,Epsilon-Greedy
3,3.9928519161975013,0,Epsilon-Greedy
3,2.2529499478575525,0,Epsilon-Greedy
3,2.118541178016215,0,Epsilon-Greedy
3,3.84519742618236,0,Epsilon-Greedy
3,5.108751577973681,0,Epsilon-Greedy
3,3.5111828017116324,0,Epsilon-Greedy
3,5.0079226688973835,0,Epsilon-Greedy
3,6.528617504688587,0,Epsilon-Greedy
3,5.916821953989876,0,Epsilon-Greedy
3,4.878641760715311,0,Epsilon-Greedy
3,3.7505815760981807,0,Epsilon-Greedy
3,3.0759549120996987,0,Epsilon-Greedy
3,4.415835366837744,0,Epsilon-Greedy
3,4.683087191308317,0,Epsilon-Greedy
3,5.140892938885876,0,Epsilon-Greedy
3,5.848970010431788,0,Epsilon-Greedy
3,2.466017764600692,0,Epsilon-Greedy
3,3.2137037551442282,0,Epsilon-Greedy
3,3.528564840100794,0,Epsilon-Greedy
3,6.6021080247201445,0,Epsilon-Greedy
3,4.778438219514669,0,Epsilon-Greedy
3,4.9694309964370795,0,Epsilon-Greedy
3,4.486444455686512,0,Epsilon-Greedy
3,4.447317234908371,0,Epsilon-Greedy
3,2.6823056209334495,0,Epsilon-Greedy
3,4.435514172530191,0,Epsilon-Greedy
3,3.9112878435141396,0,Epsilon-Greedy
3,2.544011845428227,0,Epsilon-Greedy
3,3.458891930133934,0,Epsilon-Greedy
3,5.360278084186113,0,Epsilon-Greedy
3,3.1982686489919683,0,Epsilon-Greedy
3,4.890294723926978,0,Epsilon-Greedy
3,4.229298960650058,0,Epsilon-Greedy
3,4.679022555282689,0,Epsilon-Greedy
3,3.8981969395296,0,Epsilon-Greedy
3,3.122050310982345,0,Epsilon-Greedy
3,3.2592673692889225,0,Epsilon-Greedy
3,4.171661379996217,0,Epsilon-Greedy
3,3.0316247847711857,0,Epsilon-Greedy
3,2.6548691057322342,0,Epsilon-Greedy
3,3.6597316054286133,0,Epsilon-Greedy
3,2.7278226704519626,0,Epsilon-Greedy
3,2.3443173840144924,0,Epsilon-Greedy
3,4.81401808243141,0,Epsilon-Greedy
3,4.3919920921452515,0,Epsilon-Greedy
3,3.9521752112852226,0,Epsilon-Greedy
3,3.673132867055347,0,Epsilon-Greedy
3,2.485652649124999,0,Epsilon-Greedy
3,3.7606841144819496,0,Epsilon-Greedy
3,2.992435525265011,0,Epsilon-Greedy
3,2.5550301893543983,0,Epsilon-Greedy
3,3.7793576414865386,0,Epsilon-Greedy
3,3.802498152614004,0,Epsilon-Greedy
3,5.541200238573484,0,Epsilon-Greedy
3,4.0031913361752025,0,Epsilon-Greedy
3,3.8547683730893603,0,Epsilon-Greedy
3,4.093605271593977,0,Epsilon-Greedy
3,3.0954203088913297,0,Epsilon-Greedy
3,4.628305960552423,0,Epsilon-Greedy
3,4.0648526291121625,0,Epsilon-Greedy
3,4.257050234363733,0,Epsilon-Greedy
3,2.957059421892194,0,Epsilon-Greedy
3,5.252253689488522,0,Epsilon-Greedy
3,2.6125246563130133,0,Epsilon-Greedy
3,4.21649774835575,0,Epsilon-Greedy
3,4.165520969867995,0,Epsilon-Greedy
3,3.6877473028864967,0,Epsilon-Greedy
3,2.843202995497509,0,Epsilon-Greedy
3,3.276559084993511,0,Epsilon-Greedy
3,2.544278280995696,0,Epsilon-Greedy
3,4.9941499477223825,0,Epsilon-Greedy
3,2.9807032888093747,0,Epsilon-Greedy
3,3.728884054272962,0,Epsilon-Greedy
3,2.676077385435176,0,Epsilon-Greedy
3,3.152930791848512,0,Epsilon-Greedy
3,5.164910182635075,0,Epsilon-Greedy
3,3.4224575589076762,0,Epsilon-Greedy
3,4.7677024453214445,0,Epsilon-Greedy
3,4.970962776186701,0,Epsilon-Greedy
3,5.9602309918296115,0,Epsilon-Greedy
3,3.376039613893201,0,Epsilon-Greedy
